COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,e_e001174,8,1,4,3
1,e_e001176,1,1,4,1
2,e_e001176,7,2,4,1
1,e_e001178,7,2,5,3
1,e_e001180,1,2,4,1
1,e_e001182,1,1,5,1
3,e_e001182,2,1,1,1
2,e_e001182,2,1,2,1
2,e_e001183,2,2,2,1
1,e_e001183,1,1,5,1
3,e_e001183,2,2,2,1
2,e_e001188,2,1,1,1
1,e_e001188,1,2,4,1
1,e_e001190,8,1,4,1
1,e_e001194,1,1,4,1
2,e_e001194,2,1,1,1
1,e_e001200,8,1,4,1
1,e_e001201,8,2,5,1
2,e_e001212,2,2,1,1
1,e_e001212,2,2,2,2
3,e_e001212,2,2,1,1
1,e_e001215,1,2,4,1
2,e_e001215,2,1,1,1
1,e_e001218,1,2,5,1
3,e_e001218,2,1,1,1
2,e_e001218,2,1,2,1
1,e_e001230,1,1,5,1
2,e_e001230,10,1,5,3
1,e_e001233,1,1,4,1
3,e_e001233,3,2,6,1
2,e_e001233,3,1,6,1
2,e_e001238,3,2,6,1
1,e_e001238,1,2,4,1
2,e_e001243,2,2,2,1
1,e_e001243,1,1,5,1
3,e_e001243,2,1,2,1
1,e_e001244,1,1,6,1
1,e_e001246,8,2,3,1
2,e_e001251,2,1,2,1
1,e_e001251,1,1,5,1
3,e_e001251,2,1,2,1
1,e_e001252,10,2,6,1
3,e_e001252,10,2,6,1
5,e_e001252,10,2,6,1
2,e_e001252,10,2,6,1
4,e_e001252,10,2,6,1
6,e_e001252,10,2,6,3
1,e_e001257,1,1,6,1
2,e_e001261,2,2,2,1
4,e_e001261,7,1,5,3
6,e_e001261,11,2,2,3
1,e_e001261,1,1,5,1
3,e_e001261,2,1,1,1
5,e_e001261,7,2,5,3
7,e_e001261,11,1,1,3
1,e_e001262,8,1,4,1
1,e_e001264,8,1,3,1
1,e_e001265,1,1,5,1
3,e_e001265,2,2,1,1
2,e_e001265,2,2,1,1
1,e_e001267,1,2,5,1
1,e_e001271,1,1,5,1
3,e_e001271,2,2,1,1
2,e_e001271,2,1,1,1
1,e_e001276,7,2,4,3
1,e_e001280,8,2,3,3
1,e_e001281,1,1,4,1
2,e_e001287,2,1,2,1
1,e_e001287,1,2,4,1
3,e_e001287,2,2,2,1
1,e_e001291,1,2,4,1
2,e_e001291,2,1,1,1
1,e_e001295,9,2,6,3
1,e_e001296,1,2,5,1
3,e_e001296,2,2,2,1
2,e_e001296,2,2,2,1
1,e_e001301,8,1,3,1
2,e_e001308,2,2,1,1
1,e_e001308,1,1,4,1
1,e_e001312,1,1,5,1
3,e_e001312,2,2,2,1
2,e_e001312,2,2,2,1
4,e_e001312,2,2,2,1
1,e_e001314,7,1,5,1
2,e_e001314,7,1,5,3
1,e_e001316,1,1,6,1
3,e_e001316,3,1,8,1
2,e_e001316,2,2,3,1
4,e_e001316,3,2,8,1
1,e_e001325,9,2,4,1
1,e_e001326,8,2,4,3
1,e_e001329,8,2,4,1
3,e_e001330,2,2,1,1
2,e_e001330,2,2,1,1
1,e_e001330,1,1,5,1
2,e_e001331,2,1,2,1
1,e_e001331,1,1,6,1
1,e_e001341,3,2,6,3
1,e_e001344,1,2,4,1
1,e_e001346,8,2,4,1
1,e_e001351,8,2,4,1
1,e_e001356,7,2,4,1
1,e_e001360,10,1,4,1
3,e_e001360,10,1,3,1
2,e_e001360,10,1,4,1
1,e_e001372,1,1,4,1
2,e_e001380,2,1,1,1
1,e_e001380,1,1,5,1
1,e_e001382,1,1,4,1
1,e_e001384,8,1,3,1
2,e_e001392,2,2,1,1
1,e_e001392,1,1,4,1
1,e_e001408,1,1,4,1
1,e_e001409,7,2,3,1
3,e_e001409,7,2,3,1
2,e_e001409,7,2,3,1
4,e_e001409,7,2,3,1
1,e_e001411,7,2,3,1
3,e_e001411,7,2,3,1
2,e_e001411,7,2,3,1
1,e_e001412,1,1,4,1
2,e_e001414,8,2,3,1
1,e_e001414,5,1,3,1
2,e_e001415,3,2,6,1
1,e_e001415,3,1,6,1
3,e_e001415,5,1,3,1
1,e_e001416,1,1,5,1
2,e_e001422,2,1,1,1
1,e_e001422,2,2,2,1
3,e_e001424,2,2,1,1
2,e_e001424,3,2,8,1
4,e_e001424,2,2,2,1
1,e_e001424,1,1,6,1
1,e_e001427,1,1,5,2
2,e_e001427,2,2,1,1
1,e_e001428,8,1,4,1
2,e_e001429,2,1,1,1
1,e_e001429,5,2,4,1
3,e_e001429,2,2,1,1
1,e_e001430,3,2,6,3
1,e_e001432,7,2,3,3
1,e_e001434,2,1,1,1
2,e_e001436,2,1,2,1
1,e_e001436,1,2,5,1
3,e_e001436,2,2,1,1
1,e_e001440,7,1,3,1
1,e_e001448,8,1,4,1
2,e_e001449,2,2,1,1
1,e_e001449,1,1,5,1
1,e_e001452,8,1,4,1
1,e_e001458,2,2,4,1
1,e_e001459,7,2,4,3
1,e_e001468,1,1,5,1
2,e_e001470,7,2,3,1
1,e_e001470,7,2,3,1
1,e_e001480,8,1,3,1
1,e_e001482,7,2,3,3
2,e_e001485,2,2,2,1
1,e_e001485,1,1,5,1
3,e_e001485,2,2,2,1
1,e_e001489,8,1,3,3
1,e_e001499,8,1,4,1
1,e_e001503,7,2,4,1
2,e_e001503,9,1,4,1
1,e_e001510,8,1,4,1
1,e_e001519,8,1,5,1
1,e_e001523,1,2,6,1
2,e_e001525,7,2,5,1
1,e_e001525,7,2,5,1
3,e_e001525,7,2,5,1
1,e_e001526,1,1,5,1
3,e_e001526,2,2,1,1
2,e_e001526,2,2,1,1
2,e_e001529,3,2,6,1
1,e_e001529,3,1,6,1
1,e_e001530,8,2,3,3
1,e_e001534,8,1,4,1
3,e_e001538,7,1,4,1
5,e_e001538,7,2,4,3
2,e_e001538,7,2,4,3
4,e_e001538,7,1,4,3
1,e_e001538,1,1,4,1
2,e_e001542,2,1,1,1
1,e_e001542,1,1,5,3
1,e_e001544,5,2,3,1
1,e_e001553,1,1,4,1
1,e_e001554,7,2,4,3
1,e_e001559,9,1,5,3
1,e_e001563,1,1,4,1
3,e_e001563,2,2,1,1
2,e_e001563,2,1,1,1
1,e_e001564,1,2,5,1
1,e_e001565,7,2,3,3
1,e_e001571,8,1,4,1
1,e_e001576,1,1,5,3
2,e_e001576,2,2,2,1
1,e_e001888,1,2,4,1
3,e_e001888,2,2,1,1
2,e_e001888,2,2,1,1
1,e_e001890,8,2,3,1
1,e_e001891,1,1,4,1
2,e_e001891,2,2,1,1
2,e_e001892,2,2,1,1
1,e_e001892,1,2,4,1
1,e_e001899,8,1,4,1
2,e_e001900,2,2,4,1
1,e_e001900,7,2,7,1
2,e_e001905,2,2,1,1
1,e_e001905,1,1,4,1
2,e_e001911,2,1,2,1
1,e_e001911,1,1,5,1
3,e_e001911,2,2,2,1
1,e_e001913,8,1,3,1
1,e_e001914,8,1,4,1
1,e_e001916,1,1,5,1
2,e_e001916,2,1,1,1
1,e_e001926,7,2,3,1
