TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
e_e000025,2304300004,,2304300004,,2023-04-30 14:30,1,
e_e000025,2304300005,,2304300005,,2023-04-30 15:30,1,
e_e000030,2304290001,2304290001,,2023-04-29 07:30,,,
e_e000030,2304290002,,2304290002,,2023-04-29 08:00,13,13
e_e000030,2304290003,,2304290003,,2023-04-29 22:00,6,6
e_e000030,2304290004,,2304290004,,2023-04-29 10:30,1,
e_e000030,2304290005,,2304290005,,2023-04-29 18:00,6,
e_e000037,2304300001,2304300001,,2023-04-30 18:30,,,
e_e000037,2304300002,,2304300002,,2023-04-30 23:00,1,
e_e000037,2304300003,,2304300003,,2023-04-30 20:00,1,
e_e000037,2304300004,,2304300004,,2023-04-30 21:30,1,
e_e000038,2304280001,2304280001,,2023-04-28 16:00,,,
e_e000038,2304280002,,2304280002,,2023-04-28 17:00,1,
e_e000038,2304280003,,2304280003,,2023-04-28 19:00,1,
e_e000038,2304280009,,2304280009,,2023-04-28 20:00,1,
e_e000038,2304290001,,2304290001,,2023-04-29 18:00,1,
e_e000038,2304290002,,2304290002,,2023-04-29 11:00,1,
e_e000038,2304290003,,2304290003,,2023-04-29 13:00,1,
e_e000038,2304290004,,2304290004,,2023-04-29 14:00,1,
e_e000038,2304290005,,2304290005,,2023-04-29 16:00,1,
e_e000039,2304290001,2304290001,,2023-04-29 13:00,,,
e_e000039,2304290002,,2304290002,,2023-04-29 23:00,1,1
e_e000039,2304290003,,2304290003,,2023-04-29 15:00,1,1
e_e000039,2304290004,,2304290004,,2023-04-29 16:00,1,1
e_e000039,2304290005,,2304290005,,2023-04-29 16:30,15,
e_e000039,2304290006,,2304290006,,2023-04-29 17:00,15,
e_e000039,2304290007,,2304290007,,2023-04-29 19:00,15,
e_e000039,2304290008,,2304290008,,2023-04-29 19:30,15,
e_e000039,2304290009,,2304290009,,2023-04-29 20:30,15,
e_e000040,2304280001,2304280001,,2023-04-28 18:00,,,
e_e000040,2304280002,,2304280002,,2023-04-28 23:30,15,
e_e000040,2304280003,,2304280003,,2023-04-28 20:00,1,
e_e000040,2304280004,,2304280004,,2023-04-28 21:30,15,
e_e000040,2304280005,,2304280005,,2023-04-28 22:30,15,
e_e000040,2304280006,,2304280006,,2023-04-28 23:00,15,
e_e000040,2304280007,,2304280007,,2023-04-28 23:30,15,
e_e000040,2304290001,,2304290001,,2023-04-29 13:00,15,
e_e000040,2304290002,,2304290002,,2023-04-29 12:00,15,
e_e000041,2304280001,2304280001,,2023-04-28 15:30,,,
e_e000041,2304280002,,2304280002,,2023-04-28 04:30,1,
e_e000041,2304280003,,2304280003,,2023-04-28 06:30,1,
e_e000041,2304280004,,2304280004,,2023-04-28 11:30,1,
e_e000041,2304290001,,2304290001,,2023-04-29 07:30,1,
e_e000041,2304290002,,2304290002,,2023-04-29 08:00,15,
e_e000041,2304290003,,2304290003,,2023-04-29 13:00,1,
e_e000041,2304290004,,2304290004,,2023-04-29 14:30,1,
e_e000041,2304290005,,2304290005,,2023-04-29 16:30,1,
e_e000041,2304290006,,2304290006,,2023-04-29 17:30,1,
e_e000041,2304290007,,2304290007,,2023-04-29 18:30,1,
e_e000041,2304300001,,2304300001,,2023-04-30 09:00,1,
e_e000041,2304300002,,2304300002,,2023-04-30 10:00,15,
e_e000041,2304300003,,2304300003,,2023-04-30 10:30,15,
e_e000041,2304300004,,2304300004,,2023-04-30 13:30,1,
e_e000041,2304300005,,2304300005,,2023-04-30 16:30,1,
e_e000042,2305010001,2305010001,,2023-05-01 10:30,,,
