TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,활동소비내역중복여부,숙박소비내역중복여부
e_e001422,집게.토치,1,3,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,6/1/23 0:00,1,14350,메리벨펀퍼니 캠핑 불멍용 숯집게,,0,0
e_e001428,전시회티켓; 아쿠아리움+전망대 티켓; 콘서트 티켓,0,2,,11번가,541,,,,,1,22000,,1114011800,1,0
e_e001430,케이크 사전예약,1,1,,,,,,,6/2/23 22:48,3,61000,디믈리에 홀케이크,,0,0
e_e001434,한국잡월드 입장권이요.,1,2,1298212308,한국잡월드,경기 성남시 분당구 분당수서로 501,경기 성남시 분당구 정자동 4-6,3180055,4113510300,6/1/23 0:00,1,27000,어린이체험관-입장권,,1,0
e_e001436,식재료 외,1,4,2208160348,홈플러스,경기 오산시 청학로 238,경기 오산시 수청동 610,3198045,4137010800,5/27/23 17:03,1,183070,탕볶음게장; 명품모둠어묵; 농심바나나킥; 대니쉬우유동물복지; 재사용봉투 _20L_오산,,0,0
e_e001464,가는길에 먹을 음료,0,1,,반달커피,비전동 1038,,,,,1,8500,,4122011800,0,0
e_e001482,생수,1,1,4925000373,세븐일레븐,울산 북구 신천로 26,,3172018,3120010500,5/26/23 18:55,1,700,,,0,0
e_e001499,서울재즈페스티벌 티켓,1,2,,,,,,,3/14/23 0:00,3,375000,제15회 서울재즈페스티벌2023,,0,0
e_e001521,월드디제이페스티벌 티켓 3일권,1,1,,,,,,,,1,189000,관람권,,0,0
e_e001523,과일과 음료,1,2,1089198223,훈기와 태영이네,서울 동작구 성대로 36,서울 동작구 상도동 256-36,3119007,1159010200,6/3/23 14:17,1,18500,,,0,0
e_e001526,음료;과일;과자,0,4,,트레이더스,트레이더스 연산점,,,,,1,62580,,2647010200,0,0
e_e001544,공차 음료수,1,2,6221412166,공차,서울 용산구 한강대로23길 55,,4106418,1117012800,6/4/23 12:26,1,5900,블랙 밀크티+펄J,,0,0
e_e001548,시외버스예매,1,1,,전국고속버스운송사업조합,,,,,5/31/23 4:04,1,8900,버스비,,0,0
e_e001564,경복궁 생과방 예약,1,2,,문화재청궁능유적본부 경복궁관리소,서울 종로구 사직로 161,,3100005,1111011900,6/5/23 11:40,1,30000,생과방 관람권4-1번; 관람권_초두점증병세트,,0,0
e_e001576,주유.음료.군것질.빵,0,3,,홈플러스,,,,,,1,90000,,4311311300,0,0
