TRAVELER_ID,GENDER,AGE_GRP,INCOME,RESIDENCE_SGG_CD,RESIDENCE_SIDO_NM,MARR_STTS,JOB_NM,TRAVEL_NUM,TRAVEL_DAYS_SUM,VISIT_AREA_CNT,RESIDENCE_TIME_MIN_AVG,PAYMENT_AMT_WON_PER_UNIT,PAYMENT_AMT_WON_SUM,PAYMENT_AMT_WON_PER_PERSON,PAYMENT_AMT_WON_PER_DAY,LODGE_PAYMENT_AMT_WON_SUM,ACTIVITY_PAYMENT_AMT_WON_SUM,MVMN_PAYMENT_AMT_WON_SUM,LODGING_TYPE_CD,LODGING_YN,ACTIVITY_TYPE_CD_CNT,MVMN_NM,TRAVEL_PURPOSE,TRAVEL_COMPANION_TYPE,TRAVEL_COMPANIONS_NUM,VISIT_SIDO_SGG_NM,DGSTFN_AVG,REVISIT_INTENTION_AVG,RCMDTN_INTENTION_AVG,TRAVEL_LIKE_SGG_1,TRAVEL_STYL_ALL,TRAVEL_MOTIVE_ALL,COMPANION_AGE_GRP_1,COMPANION_AGE_GRP_2,COMPANION_AGE_GRP_3,COMPANION_AGE_GRP_4,COMPANION_AGE_GRP_5,COMPANION_GENDER_1,COMPANION_GENDER_2,COMPANION_GENDER_3,COMPANION_GENDER_4,COMPANION_GENDER_5,VALUE_SEGMENT,VALUE_SEGMENT_SUB
e002154,여,20,월평균 200만원 ~ 300만원 미만,11,서울특별시,미혼,사무 종사자,1,1,7,110,47750,95500,47750,95500,0,95500,0,,N,2,,"SNS 인생샷 여행;신규 여행지 발굴;야외 스포츠, 레포츠 활동",2인 여행(가족 외),2,"경기도 김포시,서울특별시 성북구",5,5,5,42210,"자연 선호 중간선호,중립,자연 선호 약간선호,자연 선호 중간선호,자연 선호 중간선호,자연 선호 약간선호,자연 선호 중간선호,도시 선호 매우선호","운동, 건강 증진 및 충전,새로운 경험 추구,SNS 사진 등록 등 과시",20대,,,,,여자,,,,,C,B0
e002157,여,30,월평균 200만원 ~ 300만원 미만,41,경기도,미혼,기타,3,2,11,78,55200,220800,110400,110400,0,170800,50000,,N,1,자가용(승용/승합/트럭 등등),쇼핑;드라마 촬영지 방문;SNS 인생샷 여행;반려동물 동반 여행;친환경 여행(플로깅 여행),2인 여행(가족 외),2,,4,3.333333333,3.5,42830,"자연 선호 중간선호,자연 선호 중간선호,자연 선호 중간선호,자연 선호 중간선호,자연 선호 약간선호,자연 선호 약간선호,중립,도시 선호 중간선호","일상적인 환경 및 역할에서의 탈출, 지루함 탈피,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,여행 동반자와의 친밀감 및 유대감 증진",30대,,,,,여자,,,,,B,B0
e002158,여,20,월평균 200만원 ~ 300만원 미만,41,경기도,미혼,기타,3,1,7,100,32500,65000,32500,65000,0,65000,0,,N,2,,Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;등반 여행;역사 유적지 방문,2인 여행(가족 외),2,,4.4,3.8,3.8,42150,"자연 선호 매우선호,자연 선호 매우선호,자연 선호 매우선호,중립,도시 선호 매우선호,자연 선호 매우선호,도시 선호 매우선호,도시 선호 매우선호","여행 동반자와의 친밀감 및 유대감 증진,운동, 건강 증진 및 충전,SNS 사진 등록 등 과시",20대,,,,,남자,,,,,C,C0
e002159,여,30,월평균 300만원 ~ 400만원 미만,41,경기도,미혼,기타,1,2,21,49.5,232870,465740,465740,232870,0,365740,50000,,N,3,자가용(승용/승합/트럭 등등),SNS 인생샷 여행;반려동물 동반 여행;친환경 여행(플로깅 여행);등반 여행;역사 유적지 방문,나홀로 여행,1,"경기도 수원시 영통구,경기도 수원시 장안구,경기도 수원시 팔달구",3.333333333,3.111111111,3.111111111,42830,"자연 선호 매우선호,중립,중립,자연 선호 매우선호,중립,중립,중립,중립","운동, 건강 증진 및 충전,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,일상적인 환경 및 역할에서의 탈출, 지루함 탈피",,,,,,,,,,,A,A0
e002160,남,30,월평균 200만원 ~ 300만원 미만,41,경기도,기혼,사무 종사자,1,1,7,65,88850,177700,88850,177700,0,165000,12700,,N,1,버스 + 지하철,SNS 인생샷 여행,2인 여행(가족 외),2,경기도 화성시,4.2,3.2,3.2,41110,"자연 선호 약간선호,도시 선호 약간선호,자연 선호 약간선호,중립,도시 선호 중간선호,자연 선호 중간선호,자연 선호 중간선호,도시 선호 매우선호","SNS 사진 등록 등 과시,,",30대,,,,,남자,,,,,A,A0
e002161,남,30,월평균 300만원 ~ 400만원 미만,41,경기도,미혼,전문가 및 관련 종사자,2,2,10,153.3333333,74615,149230,149230,74615,55000,64230,30000,호텔,Y,3,자가용(승용/승합/트럭 등등),"쇼핑;테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;SNS 인생샷 여행;시티투어",나홀로 여행,1,,4.333333333,3.666666667,4.111111111,28200,"중립,자연 선호 약간선호,자연 선호 중간선호,중립,자연 선호 매우선호,자연 선호 약간선호,자연 선호 약간선호,도시 선호 중간선호","일상적인 환경 및 역할에서의 탈출, 지루함 탈피,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,진정한 자아 찾기 또는 자신을 되돌아볼 기회 찾기",,,,,,,,,,,B,B1
e002163,여,60,월평균 100만원 ~ 200만원 미만,41,경기도,기혼,판매 종사자,5,1,11,57,30050,120200,30050,120200,0,70200,50000,,N,2,자가용(승용/승합/트럭 등등),"테마파크, 놀이시설, 동/식물원 방문;쇼핑",3대 동반 여행(친척 포함),4,,4.125,4.125,4,42150,"자연 선호 매우선호,자연 선호 약간선호,자연 선호 중간선호,자연 선호 중간선호,자연 선호 매우선호,중립,자연 선호 중간선호,도시 선호 약간선호","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,,",20대,70세이상,70세이상,,,여자,남자,여자,,,C,C0
e002168,남,30,월평균 300만원 ~ 400만원 미만,41,경기도,기혼,사무 종사자,5,2,12,120,47983.33333,287900,95966.666667,143950,0,287900,0,,N,4,,"쇼핑;SNS 인생샷 여행;신규 여행지 발굴;야외 스포츠, 레포츠 활동",자녀 동반 여행,3,,4.428571429,5,5,42150,"도시 선호 매우선호,자연 선호 매우선호,자연 선호 매우선호,자연 선호 매우선호,자연 선호 매우선호,자연 선호 매우선호,도시 선호 매우선호,도시 선호 중간선호","여행 동반자와의 친밀감 및 유대감 증진,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,운동, 건강 증진 및 충전",30대,~9세이하,,,,남자,여자,,,,C,B0
e002169,남,30,월평균 200만원 ~ 300만원 미만,41,경기도,미혼,사무 종사자,1,1,5,135,15150,30300,15150,30300,0,24600,5700,,N,1,지하철,SNS 인생샷 여행;시티투어,2인 여행(가족 외),2,,4.333333333,4,4.333333333,11170,"자연 선호 중간선호,중립,중립,중립,중립,도시 선호 약간선호,도시 선호 중간선호,도시 선호 중간선호","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,일상적인 환경 및 역할에서의 탈출, 지루함 탈피,여행 동반자와의 친밀감 및 유대감 증진",30대,,,,,남자,,,,,C,C0
e002171,남,30,월평균 300만원 ~ 400만원 미만,41,경기도,기혼,전문가 및 관련 종사자,1,2,19,78.33333333,107525,430100,215050,215050,172000,206100,52000,콘도미니엄/리조트,Y,3,자가용(승용/승합/트럭 등등),SNS 인생샷 여행;역사 유적지 방문;시티투어;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가,2인 가족 여행,2,,4.294117647,4.176470588,4.294117647,50110,"자연 선호 매우선호,중립,자연 선호 매우선호,자연 선호 매우선호,도시 선호 매우선호,중립,도시 선호 매우선호,도시 선호 매우선호","여행 동반자와의 친밀감 및 유대감 증진,쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식,일상적인 환경 및 역할에서의 탈출, 지루함 탈피",30대,,,,,남자,,,,,A,B1
